id,version,side,win,ban1,ban2,ban3,ban4,ban5,champion1,champion2,champion3,champion4,champion5,tower_kills,inhibitor_kills ,dragon_kills,rift_herald_kills,baron_kills,first_tower,first_inhibitor,first_dragon,first_rift_herald,first_baron
3320842529,10.5.312.392,Side.blue,True,Fizz,Darius,Yasuo,Teemo,Garen,Amumu,Zed,Maokai,Lux,Varus,5,0,2,1,0,True,False,True,True,False
3320842529,10.5.312.392,Side.red,False,Morgana,Darius,Yasuo,Jax,Leona,Kayn,Senna,Yuumi,Diana,Sett,1,0,0,0,0,False,False,False,False,False
3320842526,10.5.312.392,Side.blue,False,Talon,Ekko,Leona,Darius,Nasus,Amumu,Malphite,Zed,Karma,Ezreal,0,0,0,0,0,False,False,False,False,False
3320842526,10.5.312.392,Side.red,True,Ashe,Thresh,Sett,Yasuo,Aphelios,Senna,Kayn,Diana,Lux,Tryndamere,5,0,3,1,0,True,False,True,True,False
3320842518,10.5.312.392,Side.blue,True,Darius,Diana,Master Yi,Morgana,Yuumi,Shen,Volibear,Syndra,Kalista,Nautilus,7,1,4,1,0,False,False,True,True,False
3320842518,10.5.312.392,Side.red,False,Cassiopeia,Sylas,Sett,Darius,Aphelios,Lee Sin,Malphite,Miss Fortune,Mordekaiser,Lulu,6,1,1,0,1,True,True,False,False,True
3320842517,10.5.312.392,Side.blue,False,Diana,Aphelios,Evelynn,Mordekaiser,Nautilus,Jinx,Volibear,Rammus,Pyke,Viktor,4,0,0,0,0,True,False,False,False,False
3320842517,10.5.312.392,Side.red,True,Brand,Garen,Yasuo,Sett,Senna,Ivern,Ahri,Leona,Kai'Sa,Morgana,8,1,3,0,0,False,True,True,False,False
3320842511,10.5.312.392,Side.blue,False,Pyke,Zyra,Yasuo,Sett,Master Yi,Kayle,Blitzcrank,Ezreal,Darius,Akali,3,0,1,0,0,False,False,True,False,False
3320842511,10.5.312.392,Side.red,True,Zac,Ahri,Master Yi,Sett,Leona,Taric,Ashe,Dr. Mundo,Malzahar,Amumu,9,2,2,0,1,True,True,False,False,True
3320842510,10.5.312.392,Side.blue,True,Yuumi,Vayne,Aphelios,Ekko,Sett,Kassadin,Zac,Morgana,Ezreal,Mordekaiser,9,2,3,0,1,True,True,False,False,False
3320842510,10.5.312.392,Side.red,False,Aphelios,Trundle,Tryndamere,Ornn,Fizz,Sejuani,Blitzcrank,Lucian,Garen,Vladimir,3,0,2,2,1,False,False,True,True,True
3320842501,10.5.312.392,Side.blue,False,Leona,Yasuo,Warwick,Fiora,Blitzcrank,Kled,Nautilus,Ezreal,Evelynn,Morgana,5,1,3,1,0,False,True,False,False,False
3320842501,10.5.312.392,Side.red,True,NONE,Rengar,Vayne,Darius,Master Yi,Illaoi,Sett,Vel'Koz,Ashe,Nami,8,2,3,1,1,True,False,True,True,True
3320842500,10.5.312.392,Side.blue,False,Talon,Master Yi,Blitzcrank,Senna,Mordekaiser,Jarvan IV,Pyke,Aphelios,Diana,Malzahar,1,0,1,0,0,False,False,False,False,False
3320842500,10.5.312.392,Side.red,True,Master Yi,Leona,Garen,Teemo,Warwick,Sett,Cassiopeia,Heimerdinger,Vayne,Taric,6,0,2,2,0,True,False,True,True,False
3320842497,10.5.312.392,Side.blue,True,Blitzcrank,Ornn,Ekko,Zed,Aphelios,Brand,Veigar,Olaf,Darius,Yasuo,11,7,8,1,2,True,True,True,False,False
3320842497,10.5.312.392,Side.red,False,Sett,Leona,Teemo,Evelynn,Miss Fortune,Gangplank,Azir,Caitlyn,Swain,Master Yi,6,2,1,1,2,False,False,False,True,True
3320842488,10.5.312.392,Side.blue,True,Kayn,Master Yi,Sett,Aatrox,Zed,Ezreal,Soraka,Vel'Koz,Sejuani,Darius,0,0,0,0,0,False,False,False,False,False
3320842488,10.5.312.392,Side.red,False,Ahri,Sett,Fizz,Senna,Maokai,Thresh,Aphelios,Yorick,Lee Sin,Azir,0,0,0,0,0,False,False,False,False,False
3320842478,10.5.312.392,Side.blue,True,Jhin,Anivia,Mordekaiser,Ekko,Aphelios,Irelia,Kai'Sa,Yorick,Diana,Bard,8,2,4,1,0,True,True,True,False,False
3320842478,10.5.312.392,Side.red,False,Sett,Rengar,Senna,Renekton,Nautilus,Amumu,Tryndamere,Orianna,Vayne,Soraka,1,0,0,1,0,False,False,False,True,False
3320842474,10.5.312.392,Side.blue,True,Olaf,Tryndamere,Fizz,Aphelios,Mordekaiser,Vladimir,Garen,Leona,Ekko,Jhin,0,0,0,0,0,False,False,False,False,False
3320842474,10.5.312.392,Side.red,False,Senna,Rengar,Darius,LeBlanc,Blitzcrank,Caitlyn,Syndra,Veigar,Hecarim,Fiora,0,0,0,0,0,False,False,False,False,False
3320842467,10.5.312.392,Side.blue,True,Trundle,Kassadin,Nautilus,Malzahar,Mordekaiser,Draven,Yasuo,Heimerdinger,Singed,Zac,9,1,2,2,0,True,True,False,True,False
3320842467,10.5.312.392,Side.red,False,Vladimir,Yuumi,Leona,Sylas,Sett,Ezreal,Volibear,Aatrox,Viktor,Blitzcrank,0,0,1,0,0,False,False,True,False,False
